run_id,market_id,market_name,fingerprint_available,fingerprint_tier,fingerprint_red_flag,fingerprint_bonus,matched_wallets,matched_stake_usd,matched_outcome,candidate_wallets,window_trade_usd,window_start_utc,window_end_utc,fingerprint_reason
20260926T121643Z,629491,Will the Republicans win the Nebraska governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629505,Will the Democrats win the Nevada governor race in 2026?,True,none,False,0.0,0,0.0,,0,1328.7,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629506,Will the Republicans win the Nevada governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629518,Will the Democrats win the New Hampshire governor race in 2026?,True,none,False,0.0,0,0.0,,0,1912.51,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629519,Will the Republicans win the New Hampshire governor race in 2026?,True,none,False,0.0,0,0.0,,0,5090.04,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629531,Will the Democrats win the New Mexico governor race in 2026?,True,none,False,0.0,0,0.0,,0,2335.02,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629532,Will the Republicans win the New Mexico governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629544,Will the Democrats win the New York governor race in 2026?,True,none,False,0.0,0,0.0,,0,3038.09,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629478,Will the Republicans win the Minnesota governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629337,Will the Democrats win the Georgia governor race in 2026?,True,none,False,0.0,0,0.0,,0,8974.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629338,Will the Republicans win the Georgia governor race in 2026?,True,none,False,0.0,0,0.0,,0,545.6,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629350,Will the Democrats win the Hawaii governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629351,Will the Republicans win the Hawaii governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629363,Will the Democrats win the Idaho governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629364,Will the Republicans win the Idaho governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629376,Will the Democrats win the Illinois governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629377,Will the Republicans win the Illinois governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629397,Will the Democrats win the Iowa governor race in 2026?,True,none,False,0.0,0,0.0,,0,2390.13,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629398,Will the Republicans win the Iowa governor race in 2026?,True,none,False,0.0,0,0.0,,0,2028.43,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629412,Will the Democrats win the Kansas governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629413,Will the Republicans win the Kansas governor race in 2026?,True,none,False,0.0,0,0.0,,0,2976.48,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629425,Will the Democrats win the Maine governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629426,Will the Republicans win the Maine governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629438,Will the Democrats win the Maryland governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629545,Will the Republicans win the New York governor race in 2026?,True,none,False,0.0,0,0.0,,0,1069.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,630653,Will the Democrats win the Arkansas Senate race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,630654,Will the Republicans win the Arkansas Senate race in 2026?,True,none,False,0.0,0,0.0,,0,810.95,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,630666,Will the Democrats win the Colorado Senate race in 2026?,True,none,False,0.0,0,0.0,,0,549.02,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,630667,Will the Republicans win the Colorado Senate race in 2026?,True,none,False,0.0,0,0.0,,0,635.35,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,630679,Will the Democrats win the Delaware Senate race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629557,Will the Democrats win the Ohio governor race in 2026?,True,none,False,0.0,0,0.0,,0,2879.37,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629558,Will the Republicans win the Ohio governor race in 2026?,True,none,False,0.0,0,0.0,,0,3798.35,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629570,Will the Democrats win the Oklahoma governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629571,Will the Republicans win the Oklahoma governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629583,Will the Democrats win the Oregon governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629584,Will the Republicans win the Oregon governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629614,Will the Democrats win the Pennsylvania governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629464,Will the Democrats win the Michigan governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629627,Will the Democrats win the Rhode Island governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629628,Will the Republicans win the Rhode Island governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629629,Will an independent win the Rhode Island governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629640,Will the Democrats win the South Carolina governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629641,Will the Republicans win the South Carolina governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629653,Will the Democrats win the South Dakota governor race in 2026?,True,none,False,0.0,0,0.0,,0,4501.87,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629654,Will the Republicans win the South Dakota governor race in 2026?,True,none,False,0.0,0,0.0,,0,1300.43,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629666,Will the Democrats win the Tennessee governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629451,Will the Democrats win the Massachusetts governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629452,Will the Republicans win the Massachusetts governor race in 2026?,True,none,False,0.0,0,0.0,,0,20756.51,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629439,Will the Republicans win the Maryland governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629465,Will the Republicans win the Michigan governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629477,Will the Democrats win the Minnesota governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,629615,Will the Republicans win the Pennsylvania governor race in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,628952,Will Leo Zacky win the California Governor Election in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,628953,Will Nicole Shanahan win the California Governor Election in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,628954,Will Eric Swalwell win the California Governor Election in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,628955,Will Tom Steyer win the California Governor Election in 2026?,True,none,False,0.0,0,0.0,,0,2193.8,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,628956,Will Kamala Harris win the California Governor Election in 2026?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,622738,"Will Hyperliquid perform an airdrop by December 31, 2026? ",True,none,False,0.0,0,0.0,,0,3000.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,608553,Will Khvicha Kvaratskhelia win the 2026 Ballon d'Or?,True,none,False,0.0,0,0.0,,0,6998.79,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,608554,Will Vitinha win the 2026 Ballon d'Or?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,608559,Will Achraf Hakimi win the 2026 Ballon d'Or?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
20260926T121643Z,608560,Will Bruno Fernandes win the 2026 Ballon d'Or?,True,none,False,0.0,0,0.0,,0,0.0,2026-09-19T12:16:43Z,2026-09-26T12:16:43Z,no wallet fit the fresh + focused + large long-shot fingerprint
