kind,market_name,market_id,anomaly_score,anomaly_trigger_time_utc,reason
rejected,Will an independent win the Montana Senate race in 2026?,630833,98.8,2026-07-30T17:00:12Z,only ex-post cards exist (created after the trigger)
rejected,Will the Republicans win the Kansas governor race in 2026?,629413,95.9,2026-07-25T14:00:10Z,only ex-post cards exist (created after the trigger)
rejected,Will the Republicans win the Texas governor race in 2026?,629691,95.7,2026-07-31T00:00:22Z,only ex-post cards exist (created after the trigger)
rejected,Will the Democrats win the Kansas governor race in 2026?,629412,95.0,2026-07-25T13:00:40Z,only ex-post cards exist (created after the trigger)
rejected,Will Mamdani freeze NYC rents before 2027?,664045,94.4,2026-08-01T22:00:07Z,only ex-post cards exist (created after the trigger)
rejected,Will the Democrats win the Texas governor race in 2026?,629690,93.5,2026-07-30T23:00:09Z,only ex-post cards exist (created after the trigger)
rejected,Will the Republicans win the Montana Senate race in 2026?,630832,93.2,2026-07-30T17:00:10Z,only ex-post cards exist (created after the trigger)
